,address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,latitude,longitude,name,number,status
84,58 RUE DE LA GARE DE REUILLY - 75012 PARIS,24,3,True,28,False,Paris,2015/06/09 16:00:16,48.8425771005,2.3972499906,12019 - GARE DE REUILLY,12019,OPEN
85,FACE 5 AVENUE DE LA PORTE D'IVRY - 75013 PARIS,16,2,True,18,False,Paris,2015/06/09 16:00:16,48.8202267926,2.37220930965,13116 - PLACE DU DOCTEUR YERSIN,13116,OPEN
86,31 RUE MANIN - 75019 PARIS,20,0,True,20,False,Paris,2015/06/09 16:00:16,48.8792751957,2.37863702192,19114 - MANIN SECRETAN,19114,OPEN
87,39 RUE DE MIROMESNIL - 75008 PARIS,3,30,True,33,False,Paris,2015/06/09 16:00:16,48.8737604721,2.31587630835,08025 - MIROMESNIL,8025,OPEN
88,31 RUE FRODEVAUX - 75014 PARIS,35,3,True,38,True,Paris,2015/06/09 16:00:16,48.8356804442,2.32829082205,14033 - DAGUERRE GASSENDI,14033,OPEN
89,7 RUE MONTROSIER - 92200 NEUILLY,19,6,True,25,False,Paris,2015/06/09 16:00:16,48.8794413696,2.27853571712,22011 - MONTROSIER (NEUILLY),22011,OPEN
90,1 PLACE EDOUARD RENARD - 75012 PARIS,12,23,True,35,False,Paris,2015/06/09 16:00:16,48.8355450436,2.40745551593,12032 - PORTE DOREE,12032,OPEN
91,4-6 RUE OCTAVE FEUILLET - 75016 PARIS,18,3,True,21,False,Paris,2015/06/09 16:00:16,48.8609983661,2.27312852714,16110 - OCTAVE FEUILLET,16110,OPEN
92,4 PLACE DE BARCELONE - 75016 PARIS,30,24,True,55,False,Paris,2015/06/09 16:00:16,48.84766571,2.27355626497,16030 - MIRABEAU,16030,OPEN
93,2 AVENUE ERNEST RENAN - 75015 PARIS,12,11,True,23,False,Paris,2015/06/09 16:00:16,48.8321794443,2.28712226198,15049 - PORTE DE VERSAILLES,15049,OPEN
94,61 RUE HENRY FARMAN - 75015 PARIS,9,10,True,21,False,Paris,2015/06/09 16:00:16,48.8337338302,2.27139647246,15042 - FARMAN,15042,OPEN
95,5 RUE LALLY TOLLENDAL - 75019 PARIS,59,1,True,60,False,Paris,2015/06/09 16:00:16,48.8827006442,2.37469338894,19012 - LALLY TOLLENDAL,19012,OPEN
96,FACE AU 13 RUE DE LA SEINE - 92100 BOULOGNE-BILLANCOURT,0,26,True,26,False,Paris,2015/06/09 16:00:16,48.8282434942,2.25065773964,21018 - SEINE (BOULOGNE-BILLANCOURT),21018,OPEN
97,250 RUE LECOURBE - 75015 PARIS,36,9,True,45,False,Paris,2015/06/09 16:00:16,48.8392220978,2.29154050795,15053 - LECOURBE,15053,OPEN
98,102 RUE DAMREMONT - 75018 PARIS,26,2,True,28,False,Paris,2015/06/09 16:00:16,48.893400393,2.33626652391,18027 - DAMREMONT ORDENER,18027,OPEN
99,16 RUE DE MEZIERES - 75006 PARIS,2,53,True,55,False,Paris,2015/06/09 16:00:16,48.8502970102,2.33044682028,06103 - MEZIERES RENNES,6103,OPEN
100,23 RUE PIERRE BROSSOLETTE - 94200 IVRY,11,9,True,20,False,Paris,2015/06/09 16:00:16,48.8169297206,2.38146031918,42006 - BROSSOLETTE (IVRY),42006,OPEN
101,4 RUE FRAGONARD - 75017 PARIS,50,4,True,54,False,Paris,2015/06/09 16:00:16,48.8941513833,2.31467800112,17011 - PORTE DE CLICHY FRAGONARD,17011,OPEN
102,2 RUE DANTON - 75006 PARIS,0,35,True,35,False,Paris,2015/06/09 16:00:16,48.8529304106,2.34265739289,06020 - SAINT MICHEL DANTON,6020,OPEN
103,FACE 77 BOULEVARD DE CHARONNE - 75011 PARIS,45,1,True,46,False,Paris,2015/06/09 16:00:16,48.8541760404,2.39609349532,11017 - ALEXANDRE DUMAS,11017,OPEN
104,18 RUE CASSINI - 75014 PARIS,16,8,True,24,False,Paris,2015/06/09 16:00:16,48.8375492922,2.33598303047,14111 - DENFERT-ROCHEREAU CASSINI,14111,OPEN
105,81 BIS RUE JP TIMBAUD - 75011 PARIS,44,4,True,48,False,Paris,2015/06/09 16:00:16,48.8679379631,2.37788551568,11032 - METALLOS,11032,OPEN
106,2 RUE PETIT - 92110 CLICHY,15,10,True,25,False,Paris,2015/06/09 16:00:16,48.8993483538,2.29662648341,21113 - PETIT (CLICHY),21113,OPEN
107,FACE 104 BOULEVARD RICHARD LENOIR - 75011 PARIS,19,4,True,23,False,Paris,2015/06/09 16:00:16,48.8634319896,2.37120861796,11044 - RICHARD LENOIR VOLTAIRE NORD,11044,OPEN
108,69 BOULEVARD BEAUMARCHAIS - 75003 PARIS,3,46,True,52,False,Paris,2015/06/09 16:00:16,48.8580440569,2.3678326593,03001 - CHEMIN VERT BEAUMARCHAIS,3001,OPEN
109,2 RUE DES RASSELINS - 75020 PARIS,24,3,True,27,False,Paris,2015/06/09 16:00:16,48.8535286859,2.40961536278,20133 - RASSELINS,20133,OPEN
110,1 AVENUE BOUTROUX - 75013 PARIS,11,38,True,49,False,Paris,2015/06/09 16:00:16,48.8226328422,2.37773843366,13047 - BOUTROUX VITRY,13047,OPEN
111,RUE DORA MAAR / GARE RER - 93400 SAINT OUEN,19,7,True,26,False,Paris,2015/06/09 16:00:16,48.9052696294,2.32217124869,34009 - MAAR (SAINT OUEN),34009,OPEN
112,2 BOULEVARD RICHARD LENOIR - 75011 PARIS,16,20,True,40,False,Paris,2015/06/09 16:00:16,48.8538482262,2.36970148822,11001 - BASTILLE RICHARD LENOIR,11001,OPEN
113,67 RUE DES ARCHIVES - 75003 PARIS,28,0,True,28,False,Paris,2015/06/09 16:00:16,48.8624012119,2.35944703195,03007 - ARCHIVES PASTOURELLE,3007,OPEN
114,26 RUE MONTHOLON - 75009 PARIS,19,1,True,21,False,Paris,2015/06/09 16:00:16,48.8766011714,2.3457855168,09009 - SQUARE MONTHOLON,9009,OPEN
115,QUAI D'ORSAY - CONCORDE - 75007 PARIS,0,19,True,20,False,Paris,2015/06/09 16:00:16,48.86314,2.31669,00905 - CONCORDE/BERGES DE SEINE (STATION MOBILE),905,OPEN
116,25-31 BOULEVARD DE VAUGIRARD - 75015 PARIS,43,1,True,48,False,Paris,2015/06/09 16:00:16,48.8413252598,2.31829155159,15115 - VAUGIRARD,15115,OPEN
